Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
46,male,unskilled,rent,no_info,no_info,730,7,radio/TV,good
51,male,management,free,little,little,1164,8,vacation/others,good
41,female,unskilled,own,little,moderate,5954,42,business,good
40,male,management,own,no_info,little,1977,36,education,bad
66,male,management,free,little,little,1526,12,car,good
34,male,skilled,own,little,little,3965,42,radio/TV,bad
51,male,skilled,own,little,moderate,4771,11,radio/TV,good
39,male,unskilled,own,no_info,no_info,9436,54,car,good
22,male,skilled,own,little,moderate,3832,30,furniture/equipment,good
44,female,skilled,own,no_info,no_info,5943,24,radio/TV,bad
47,male,skilled,own,quite rich,no_info,1213,15,radio/TV,good
24,female,unskilled,rent,moderate,no_info,1568,18,business,good
58,female,unskilled,own,little,little,1755,24,vacation/others,good
52,male,unskilled,own,little,little,2315,10,radio/TV,good
29,female,management,own,little,no_info,1412,12,business,good
27,female,skilled,own,little,moderate,1295,18,furniture/equipment,good
47,male,skilled,free,moderate,moderate,12612,36,education,bad
30,male,management,own,moderate,little,2249,18,car,good
28,male,skilled,own,little,little,1108,12,repairs,bad
56,male,skilled,own,little,no_info,618,12,radio/TV,good
54,male,skilled,own,little,little,1409,12,car,good
33,female,unskilled,own,no_info,no_info,797,12,radio/TV,bad
20,male,skilled,rent,no_info,rich,3617,24,furniture/equipment,good
54,male,skilled,own,rich,moderate,1318,12,car,good
58,male,skilled,rent,little,moderate,15945,54,business,bad
61,female,skilled,own,no_info,no_info,2012,12,education,good
34,male,skilled,own,moderate,moderate,2622,18,business,good
36,male,skilled,own,little,moderate,2337,36,radio/TV,good
36,male,management,rent,no_info,moderate,7057,20,car,good
41,male,unskilled,rent,moderate,no_info,1469,24,car,good
24,male,skilled,rent,little,moderate,2323,36,radio/TV,good
24,female,skilled,own,little,no_info,932,6,radio/TV,good
35,male,skilled,rent,little,moderate,1919,9,furniture/equipment,good
26,male,skilled,rent,no_info,no_info,2445,12,car,good
39,male,management,own,little,moderate,11938,24,vacation/others,bad
39,male,management,own,little,no_info,6458,18,car,bad
32,male,skilled,own,little,moderate,6078,12,car,good
30,female,skilled,own,no_info,little,7721,24,furniture/equipment,good
35,male,skilled,own,quite rich,moderate,1410,14,business,good
31,male,skilled,own,moderate,moderate,1449,6,business,good
23,female,skilled,rent,little,rich,392,15,education,good
28,male,unskilled,rent,little,moderate,6260,18,car,good
25,female,skilled,own,little,no_info,7855,36,car,bad
35,male,skilled,own,quite rich,little,1680,12,radio/TV,good
47,male,skilled,own,no_info,no_info,3578,48,radio/TV,good
30,female,management,own,no_info,little,7174,42,radio/TV,bad
27,female,skilled,rent,no_info,little,2132,10,furniture/equipment,good
23,female,skilled,own,quite rich,little,4281,33,furniture/equipment,bad
36,male,management,own,quite rich,moderate,2366,12,car,good
25,female,skilled,own,little,little,1835,21,radio/TV,bad
41,female,management,rent,little,no_info,3868,24,car,good
24,male,unskilled,rent,little,no_info,1768,12,furniture/equipment,good
63,male,skilled,free,little,rich,781,10,car,good
27,female,skilled,rent,no_info,moderate,1924,18,furniture/equipment,bad
30,male,skilled,own,little,little,2121,12,car,good
40,male,unskilled,own,little,little,701,12,radio/TV,good
30,male,skilled,own,little,moderate,639,12,repairs,bad
34,male,management,own,little,moderate,1860,12,car,good
29,female,skilled,own,little,little,3499,12,car,bad
24,female,skilled,own,no_info,moderate,8487,48,car,good
29,male,skilled,own,little,little,6887,36,education,bad
27,male,unskilled,own,little,no_info,2708,15,furniture/equipment,good
47,male,skilled,free,little,no_info,1984,18,furniture/equipment,good
21,female,skilled,own,moderate,no_info,10144,60,radio/TV,good
38,female,skilled,own,no_info,no_info,1240,12,radio/TV,good
27,male,skilled,own,rich,no_info,8613,27,car,good
66,male,unskilled,own,quite rich,moderate,766,12,radio/TV,bad
35,male,skilled,own,no_info,moderate,2728,15,radio/TV,good
44,female,unskilled,rent,little,rich,1881,12,radio/TV,good
27,male,unemployed,own,rich,rich,709,6,car,good
30,female,management,own,little,moderate,4795,36,radio/TV,good
27,male,management,own,little,little,3416,27,radio/TV,good
22,male,skilled,own,little,little,2462,18,furniture/equipment,bad
23,female,skilled,own,little,no_info,2288,21,furniture/equipment,good
30,male,skilled,own,moderate,moderate,3566,48,business,good
39,female,skilled,own,little,little,860,6,car,good
51,female,skilled,own,moderate,no_info,682,12,car,good
28,male,skilled,own,little,little,5371,36,furniture/equipment,good
46,male,skilled,own,rich,no_info,1582,18,radio/TV,good
42,male,skilled,free,moderate,no_info,1346,6,radio/TV,good
38,male,skilled,own,little,no_info,1924,10,radio/TV,good
24,male,skilled,own,little,rich,5848,36,radio/TV,good
29,female,skilled,rent,rich,moderate,7758,24,car,good
36,male,management,rent,moderate,moderate,6967,24,business,good
20,female,skilled,rent,little,little,1282,12,furniture/equipment,bad
48,male,skilled,own,moderate,little,1288,9,repairs,good
45,male,unskilled,own,little,little,339,12,education,good
38,male,skilled,own,moderate,moderate,3512,24,car,good
34,male,unskilled,own,no_info,no_info,1898,6,radio/TV,good
36,male,skilled,own,moderate,no_info,2872,24,radio/TV,good
30,female,skilled,own,little,no_info,1055,18,car,good
36,male,skilled,own,quite rich,no_info,1262,15,domestic appliances,good
70,male,management,free,little,moderate,7308,10,car,good
36,male,skilled,own,quite rich,no_info,909,36,car,good
32,male,skilled,own,quite rich,no_info,2978,6,furniture/equipment,good
33,female,skilled,own,little,little,1131,18,furniture/equipment,bad
20,female,skilled,own,rich,moderate,1577,11,furniture/equipment,good
25,female,skilled,rent,little,no_info,3972,24,furniture/equipment,good
31,male,skilled,own,little,moderate,1935,24,business,bad
33,male,skilled,rent,little,little,950,15,car,bad
26,female,skilled,own,little,no_info,763,12,furniture/equipment,good
34,female,management,own,little,moderate,2064,24,furniture/equipment,bad
33,male,skilled,own,little,moderate,1414,8,radio/TV,good
26,male,skilled,own,little,little,3414,21,education,bad
53,female,management,own,no_info,no_info,7485,30,car,bad
42,male,skilled,own,little,little,2577,12,furniture/equipment,good
52,male,skilled,own,quite rich,little,338,6,radio/TV,good
31,male,management,rent,little,no_info,1963,12,radio/TV,good
65,male,skilled,own,little,little,571,21,car,good
28,male,skilled,own,little,no_info,9572,36,business,bad
30,male,management,own,little,moderate,4455,36,business,bad
40,male,unskilled,own,no_info,little,1647,21,car,bad
50,male,skilled,own,rich,no_info,3777,24,furniture/equipment,good
36,male,skilled,own,little,moderate,884,18,car,bad
31,male,skilled,own,little,no_info,1360,15,radio/TV,good
74,female,management,free,little,moderate,5129,9,car,bad
68,male,unemployed,free,little,moderate,1175,16,car,good
20,male,skilled,own,moderate,little,674,12,radio/TV,bad
33,female,skilled,own,little,moderate,3244,18,furniture/equipment,good
54,male,management,own,rich,no_info,4591,24,business,bad
34,male,unskilled,free,moderate,moderate,3844,48,business,bad
36,male,skilled,own,little,moderate,3915,27,business,bad
29,male,skilled,rent,little,no_info,2108,6,radio/TV,good
21,male,skilled,rent,moderate,moderate,3031,45,radio/TV,bad
34,female,management,own,little,moderate,1501,9,education,bad
28,female,skilled,own,little,no_info,1382,6,radio/TV,good
27,female,skilled,rent,moderate,moderate,951,12,furniture/equipment,bad
36,male,skilled,free,no_info,moderate,2760,24,car,good
40,male,management,own,little,moderate,4297,18,furniture/equipment,bad
52,male,skilled,own,quite rich,no_info,936,9,education,good
27,male,unskilled,own,little,little,1168,12,car,good
26,male,skilled,own,little,no_info,5117,27,business,good
21,male,skilled,rent,little,little,902,12,education,bad
38,male,unskilled,own,little,no_info,1495,12,car,good
38,male,management,free,little,little,10623,30,car,good
43,male,skilled,own,little,no_info,1935,12,furniture/equipment,good
26,male,skilled,own,little,moderate,1424,12,domestic appliances,good
21,male,unskilled,own,little,little,6568,24,business,good
55,male,skilled,own,rich,no_info,1413,12,car,good
33,male,skilled,own,no_info,no_info,3074,9,radio/TV,good
45,female,unskilled,own,no_info,no_info,3835,36,radio/TV,good
50,male,skilled,own,little,little,5293,27,business,bad
66,male,management,own,little,rich,1908,30,business,bad
51,male,skilled,own,no_info,no_info,3342,36,radio/TV,good
39,female,unskilled,own,no_info,moderate,932,6,education,good
31,male,skilled,own,little,little,3104,18,business,good
23,male,skilled,own,little,rich,3913,36,radio/TV,good
24,male,unskilled,rent,little,little,3021,24,furniture/equipment,good
64,female,skilled,own,little,no_info,1364,10,car,good
26,male,unskilled,own,little,moderate,625,12,radio/TV,good
23,female,skilled,rent,no_info,little,1200,12,education,good
30,male,skilled,own,little,no_info,707,12,radio/TV,good
32,male,skilled,own,no_info,no_info,2978,24,business,good
30,male,skilled,own,little,no_info,4657,15,car,good
27,male,skilled,own,little,no_info,2613,36,repairs,good
27,male,skilled,own,rich,moderate,10961,48,radio/TV,bad
53,male,management,free,little,little,7865,12,furniture/equipment,bad
22,male,skilled,own,little,no_info,1478,9,radio/TV,bad
22,male,skilled,free,little,little,3149,24,furniture/equipment,good
26,male,skilled,own,little,rich,4210,36,radio/TV,bad
51,male,unskilled,free,quite rich,no_info,2507,9,car,good
35,male,skilled,own,moderate,no_info,2141,12,radio/TV,good
25,male,unskilled,own,little,moderate,866,18,radio/TV,good
42,male,unskilled,own,little,no_info,1544,4,radio/TV,good
30,male,management,own,little,little,1823,24,radio/TV,bad
23,male,unemployed,own,no_info,moderate,14555,6,car,bad
61,male,unskilled,rent,moderate,moderate,2767,21,business,bad
35,female,skilled,own,little,no_info,1291,12,radio/TV,good
39,male,skilled,own,little,little,2522,30,radio/TV,good
29,female,skilled,own,no_info,little,915,24,car,bad
51,male,skilled,own,little,no_info,1595,6,radio/TV,good
24,male,skilled,free,little,little,4605,48,car,bad
27,female,skilled,own,little,no_info,1185,12,business,good
35,female,unskilled,own,quite rich,no_info,3447,12,education,good
25,male,skilled,own,little,no_info,1258,24,business,good
52,male,skilled,own,little,no_info,717,12,radio/TV,good
35,male,skilled,rent,moderate,no_info,1204,6,car,good
26,male,skilled,own,little,rich,1925,24,furniture/equipment,good
22,female,skilled,rent,little,no_info,433,18,radio/TV,bad
39,female,unskilled,own,rich,little,666,6,car,good
46,female,unskilled,own,little,rich,2251,12,furniture/equipment,good
24,female,skilled,own,little,moderate,2150,30,car,bad
35,male,skilled,own,moderate,no_info,4151,24,furniture/equipment,good
24,male,skilled,own,no_info,moderate,2030,9,furniture/equipment,good
27,male,unskilled,own,no_info,moderate,7418,60,radio/TV,good
35,male,unskilled,own,little,no_info,2684,24,radio/TV,good
29,male,skilled,free,little,little,2149,12,radio/TV,bad
23,female,skilled,own,moderate,no_info,3812,15,car,good
57,female,unskilled,own,moderate,no_info,1154,11,radio/TV,good
27,male,skilled,own,little,little,1657,12,furniture/equipment,good
55,female,skilled,own,little,little,1603,24,radio/TV,good
36,male,management,free,little,little,5302,18,car,good
57,female,unskilled,free,little,no_info,2748,12,education,good
32,male,unskilled,own,little,no_info,1231,10,car,good
37,male,skilled,own,little,moderate,802,15,radio/TV,bad
36,male,skilled,own,no_info,no_info,6304,36,business,good
38,female,skilled,own,little,no_info,1533,24,radio/TV,good
45,male,management,own,little,little,8978,14,car,bad
25,male,skilled,own,no_info,no_info,999,24,radio/TV,good
32,male,skilled,own,no_info,no_info,2662,18,car,good
37,female,skilled,rent,quite rich,no_info,1402,12,furniture/equipment,good
36,male,management,free,no_info,moderate,12169,48,car,good
28,male,skilled,own,little,moderate,3060,48,radio/TV,bad
34,male,unskilled,own,little,little,11998,30,repairs,bad
32,male,skilled,own,little,no_info,2697,9,radio/TV,good
26,female,skilled,own,little,no_info,2404,18,radio/TV,good
49,male,unskilled,own,no_info,little,1262,12,furniture/equipment,good
32,female,skilled,own,little,no_info,4611,6,furniture/equipment,bad
29,male,management,rent,moderate,no_info,1901,24,radio/TV,good
23,male,skilled,rent,rich,no_info,3368,15,car,good
50,male,skilled,own,little,no_info,1574,12,furniture/equipment,good
49,male,unskilled,own,no_info,rich,1445,18,radio/TV,good
63,male,skilled,own,no_info,no_info,1520,15,furniture/equipment,good
37,male,skilled,own,moderate,moderate,3878,24,car,good
35,female,unskilled,own,little,little,10722,47,car,good
26,male,skilled,own,little,little,4788,48,car,good
31,male,management,free,moderate,moderate,7582,48,vacation/others,good
49,female,skilled,own,little,moderate,1092,12,radio/TV,good
48,male,skilled,own,little,little,1024,24,radio/TV,bad
26,male,skilled,own,little,no_info,1076,12,business,good
28,male,management,rent,little,moderate,9398,36,car,bad
44,female,management,free,little,little,6419,24,car,good
56,male,skilled,free,little,rich,4796,42,car,good
46,male,management,own,no_info,no_info,7629,48,business,good
26,female,skilled,own,little,moderate,9960,48,furniture/equipment,bad
20,female,skilled,rent,no_info,no_info,4675,12,car,good
45,male,unskilled,own,no_info,no_info,1287,10,car,good
43,male,skilled,own,little,no_info,2515,18,furniture/equipment,good
32,male,skilled,own,rich,moderate,2745,21,furniture/equipment,good
54,female,unemployed,own,little,no_info,672,6,car,good
42,female,skilled,own,little,moderate,3804,36,radio/TV,bad
37,male,unskilled,own,no_info,rich,1344,24,car,bad
49,male,skilled,own,little,little,1038,10,car,good
44,male,skilled,free,quite rich,no_info,10127,48,car,bad
33,male,skilled,own,rich,no_info,1543,6,furniture/equipment,good
24,female,unskilled,rent,no_info,no_info,4811,30,car,good
33,male,unskilled,own,moderate,little,727,12,radio/TV,bad
24,female,skilled,own,little,moderate,1237,8,furniture/equipment,bad
22,male,unskilled,rent,little,moderate,276,9,car,good
40,male,unemployed,free,no_info,moderate,5381,48,vacation/others,good
25,male,skilled,own,moderate,no_info,5511,24,furniture/equipment,good
26,female,skilled,own,little,rich,3749,24,furniture/equipment,good
25,male,unskilled,own,little,moderate,685,12,car,bad
29,male,unskilled,own,no_info,rich,1494,4,car,good
31,male,skilled,own,little,little,2746,36,furniture/equipment,bad
38,male,unskilled,own,little,little,708,12,furniture/equipment,good
48,female,unskilled,own,no_info,moderate,4351,24,furniture/equipment,good
32,male,skilled,own,little,no_info,701,12,education,good
27,female,unskilled,own,little,little,3643,15,furniture/equipment,good
28,male,management,own,little,moderate,4249,30,car,bad
32,male,skilled,own,little,little,1938,24,radio/TV,bad
34,male,management,free,little,little,2910,24,car,good
28,male,skilled,own,rich,little,2659,18,furniture/equipment,good
36,female,skilled,own,little,no_info,1028,18,car,good
39,male,unskilled,own,little,little,3398,8,car,good
49,male,skilled,rent,no_info,no_info,5801,12,furniture/equipment,good
34,female,skilled,own,rich,no_info,1525,24,car,good
31,male,skilled,own,little,rich,4473,36,radio/TV,good
28,male,skilled,own,little,moderate,1068,6,radio/TV,good
75,male,management,free,little,little,6615,24,car,good
30,female,skilled,own,moderate,no_info,1864,18,education,bad
24,female,management,own,moderate,moderate,7408,60,car,bad
24,female,unskilled,rent,moderate,no_info,11590,48,car,bad
23,male,skilled,rent,little,little,4110,24,furniture/equipment,bad
44,male,management,rent,little,little,3384,6,furniture/equipment,bad
23,female,unskilled,own,little,moderate,2101,13,radio/TV,good
24,female,skilled,rent,no_info,little,1275,15,domestic appliances,bad
28,male,skilled,own,little,little,4169,24,furniture/equipment,good
31,male,unskilled,own,little,moderate,1521,10,furniture/equipment,good
24,female,skilled,free,little,moderate,5743,24,education,good
26,female,unskilled,rent,little,little,3599,21,furniture/equipment,good
25,male,skilled,rent,quite rich,moderate,3213,18,radio/TV,good
33,male,management,own,little,moderate,4439,18,business,good
37,male,unskilled,own,little,rich,3949,10,car,good
43,female,unskilled,own,little,no_info,1459,15,radio/TV,good
23,male,skilled,own,little,moderate,882,13,radio/TV,good
23,female,unemployed,rent,quite rich,moderate,3758,24,radio/TV,good
34,male,unskilled,own,moderate,no_info,1743,6,business,good
32,male,skilled,free,rich,moderate,1136,9,education,bad
23,female,skilled,rent,little,no_info,1236,9,domestic appliances,good
29,female,skilled,own,little,moderate,959,9,furniture/equipment,bad
38,male,management,own,no_info,no_info,3229,18,car,good
28,male,skilled,rent,little,little,6199,12,radio/TV,bad
46,male,skilled,free,quite rich,no_info,727,10,education,good
23,male,unskilled,own,little,moderate,1246,24,car,bad
49,male,skilled,own,no_info,no_info,2331,12,radio/TV,good
26,male,management,own,little,no_info,4463,36,radio/TV,bad
28,male,skilled,own,little,no_info,776,12,radio/TV,good
23,female,skilled,rent,little,little,2406,30,furniture/equipment,bad
61,male,skilled,free,no_info,moderate,1239,18,education,good
37,male,management,own,no_info,rich,3399,12,radio/TV,good
36,female,skilled,own,little,rich,2247,12,car,good
21,male,skilled,rent,little,no_info,1766,6,furniture/equipment,good
25,male,unemployed,own,little,little,2473,18,furniture/equipment,bad
36,male,skilled,own,little,no_info,1542,12,business,good
27,male,skilled,own,little,no_info,3850,18,car,good
22,female,skilled,rent,little,little,3650,18,furniture/equipment,good
42,male,skilled,own,little,little,3446,36,furniture/equipment,bad
40,female,skilled,rent,little,moderate,3001,18,furniture/equipment,good
36,male,skilled,own,no_info,no_info,3079,36,car,good
33,male,skilled,own,little,no_info,6070,18,radio/TV,good
23,female,skilled,rent,little,no_info,2146,10,furniture/equipment,good
63,male,management,free,no_info,no_info,13756,60,car,good
60,female,management,free,moderate,moderate,14782,60,vacation/others,bad
37,female,skilled,rent,little,little,7685,48,business,bad
34,male,skilled,own,little,no_info,2320,18,radio/TV,good
36,male,skilled,free,no_info,no_info,846,7,radio/TV,good
57,male,management,free,little,moderate,14318,36,car,bad
52,female,unskilled,own,moderate,no_info,362,6,car,good
39,male,skilled,own,no_info,little,2212,20,furniture/equipment,good
38,female,management,free,little,moderate,12976,18,car,bad
25,female,skilled,rent,no_info,no_info,1283,22,car,good
26,male,skilled,own,little,rich,1330,12,car,good
26,male,unskilled,own,moderate,no_info,4272,30,business,good
25,female,skilled,own,little,no_info,2238,18,radio/TV,good
21,female,skilled,rent,no_info,no_info,1126,18,radio/TV,good
40,male,management,own,little,moderate,7374,18,furniture/equipment,good
27,male,skilled,own,quite rich,moderate,2326,15,business,good
27,female,skilled,own,little,no_info,1449,9,business,good
30,male,management,own,little,no_info,1820,18,car,good
19,female,unskilled,rent,rich,moderate,983,12,furniture/equipment,good
39,male,management,free,little,little,3249,36,car,good
31,female,skilled,own,little,little,1957,6,radio/TV,good
31,male,management,own,little,no_info,2406,9,furniture/equipment,good
32,male,skilled,rent,moderate,moderate,11760,39,education,good
55,female,management,free,little,little,2578,12,furniture/equipment,good
46,male,skilled,own,little,little,2348,36,furniture/equipment,good
46,male,skilled,rent,little,moderate,1223,12,car,bad
43,female,unskilled,own,rich,no_info,1516,24,radio/TV,good
39,male,skilled,own,little,no_info,1473,18,radio/TV,good
28,male,skilled,own,no_info,moderate,1887,18,business,good
27,male,skilled,own,little,no_info,8648,24,business,bad
27,male,unskilled,own,little,no_info,802,14,car,good
43,male,skilled,own,no_info,moderate,2899,18,car,good
22,male,skilled,own,little,moderate,2039,24,radio/TV,bad
43,male,skilled,own,no_info,no_info,2197,24,car,good
27,male,skilled,own,little,little,1053,15,radio/TV,good
26,male,management,own,quite rich,no_info,3235,24,radio/TV,good
28,male,skilled,own,quite rich,rich,939,12,car,bad
20,female,skilled,own,little,moderate,1967,24,radio/TV,good
35,male,management,own,little,no_info,7253,33,car,good
42,male,management,own,little,no_info,2292,12,business,bad
40,male,unskilled,rent,quite rich,no_info,1597,10,car,good
35,female,skilled,own,no_info,little,1381,24,car,bad
35,male,skilled,own,little,no_info,5842,36,car,good
33,male,unskilled,own,little,little,2579,12,car,bad
23,female,skilled,rent,no_info,little,8471,18,education,good
31,female,management,own,quite rich,no_info,2782,21,car,good
33,female,skilled,own,no_info,moderate,1042,18,car,bad
20,female,skilled,rent,rich,no_info,3186,15,car,good
30,male,skilled,own,no_info,moderate,2028,12,car,good
47,male,unskilled,own,little,moderate,958,12,car,good
34,male,management,own,moderate,no_info,1591,21,furniture/equipment,good
25,female,skilled,own,no_info,moderate,2762,12,furniture/equipment,bad
21,male,skilled,rent,little,moderate,2779,18,car,good
29,male,skilled,own,little,no_info,2743,28,radio/TV,good
46,male,skilled,own,rich,no_info,1149,18,radio/TV,good
20,male,skilled,own,little,no_info,1313,9,furniture/equipment,good
55,female,unemployed,free,little,little,1190,18,repairs,bad
74,male,unskilled,own,little,no_info,3448,5,business,good
29,male,management,own,little,moderate,11328,24,vacation/others,bad
36,male,management,free,little,little,1872,6,furniture/equipment,good
33,male,skilled,own,little,no_info,2058,24,repairs,good
25,male,skilled,own,little,little,2136,9,furniture/equipment,good
25,male,skilled,own,no_info,moderate,1484,12,radio/TV,bad
23,male,unskilled,rent,quite rich,no_info,660,6,repairs,good
37,female,skilled,own,rich,no_info,1287,24,car,good
65,male,unemployed,own,little,little,3394,42,repairs,good
26,female,unemployed,own,little,rich,609,12,business,bad
39,male,management,own,little,no_info,1884,12,car,good
30,female,skilled,own,little,little,1620,12,furniture/equipment,good
29,male,skilled,own,little,moderate,2629,20,vacation/others,good
41,male,unskilled,own,little,no_info,719,12,education,bad
30,female,management,own,little,moderate,5096,48,furniture/equipment,bad
41,female,unskilled,rent,no_info,no_info,1244,9,education,good
34,female,skilled,own,little,little,1842,36,car,bad
35,male,skilled,own,little,moderate,2576,7,radio/TV,good
55,female,management,own,no_info,rich,1424,12,furniture/equipment,good
61,male,skilled,own,rich,moderate,1512,15,repairs,bad
30,male,management,own,no_info,no_info,11054,36,car,good
29,female,skilled,own,little,no_info,518,6,radio/TV,good
34,male,skilled,own,little,no_info,2759,12,furniture/equipment,good
35,male,management,own,little,no_info,2670,24,car,good
31,male,skilled,own,little,little,4817,24,car,bad
29,female,management,own,little,no_info,2679,24,car,good
36,male,skilled,rent,little,little,3905,11,car,good
35,male,skilled,free,little,little,3386,12,car,bad
27,female,skilled,own,little,little,343,6,domestic appliances,good
32,male,skilled,own,little,no_info,4594,18,radio/TV,good
37,male,skilled,own,little,little,3620,36,furniture/equipment,good
36,male,skilled,own,little,little,1721,15,car,good
34,female,management,rent,little,moderate,3017,12,furniture/equipment,good
38,male,skilled,own,no_info,moderate,754,12,education,good
34,male,skilled,own,little,no_info,1950,18,business,good
63,male,skilled,own,little,little,2924,24,car,good
29,female,unskilled,rent,little,little,1659,24,radio/TV,bad
32,male,skilled,own,no_info,no_info,7238,48,radio/TV,good
26,female,skilled,own,little,no_info,2764,33,business,good
35,male,unskilled,own,little,no_info,4679,24,car,good
22,male,skilled,rent,moderate,moderate,3092,24,radio/TV,bad
23,female,skilled,own,little,little,448,6,education,bad
28,male,unskilled,own,little,little,654,9,car,bad
36,male,management,own,no_info,no_info,1238,6,education,good
33,male,skilled,own,little,moderate,1245,18,radio/TV,bad
26,female,skilled,rent,little,little,3114,18,furniture/equipment,bad
24,male,skilled,own,quite rich,no_info,2569,39,car,good
25,male,skilled,own,little,rich,5152,24,radio/TV,good
39,male,unskilled,own,moderate,moderate,1037,12,business,good
44,male,skilled,own,little,little,1478,15,furniture/equipment,good
23,female,unskilled,own,little,moderate,3573,12,radio/TV,good
26,male,skilled,own,little,moderate,1201,24,car,good
57,female,skilled,rent,rich,little,3622,30,furniture/equipment,good
30,female,skilled,own,rich,no_info,960,15,furniture/equipment,good
44,male,skilled,own,quite rich,no_info,1163,12,car,good
47,male,management,own,little,moderate,1209,6,car,bad
52,male,skilled,own,little,no_info,3077,12,radio/TV,good
62,female,skilled,free,little,no_info,3757,24,car,good
35,male,unskilled,rent,moderate,no_info,1418,10,car,good
26,male,skilled,rent,little,no_info,3518,6,car,good
26,male,skilled,own,little,no_info,1934,12,radio/TV,good
42,female,management,free,little,moderate,8318,27,business,bad
27,female,skilled,own,moderate,no_info,1237,6,radio/TV,good
38,male,skilled,own,no_info,moderate,368,6,radio/TV,good
39,male,unskilled,rent,little,little,2122,12,car,good
20,male,skilled,own,no_info,little,2996,24,furniture/equipment,bad
29,male,management,rent,moderate,moderate,9034,36,furniture/equipment,bad
40,male,skilled,own,little,no_info,1585,24,furniture/equipment,good
